Episode,WinRate
0,0.1
200,0.125
400,0.145
600,0.1675
800,0.181
1000,0.205
1200,0.23357142857142857
1400,0.251875
1600,0.2733333333333333
1800,0.2945
2000,0.3131818181818182
2200,0.33166666666666667
2400,0.3465384615384615
2600,0.35928571428571426
2800,0.37233333333333335
3000,0.385625
3200,0.3991176470588235
3400,0.4113888888888889
3600,0.425
3800,0.44
4000,0.45166666666666666
4200,0.4631818181818182
4400,0.473695652173913
4600,0.485625
4800,0.4968
5000,0.505576923076923
5200,0.5153703703703704
5400,0.5232142857142857
5600,0.531896551724138
5800,0.5411666666666667
6000,0.5495161290322581
6200,0.55765625
6400,0.5651515151515152
6600,0.5736764705882353
6800,0.5802857142857143
7000,0.5877777777777777
7200,0.5948648648648649
7400,0.6009210526315789
7600,0.6071794871794872
7800,0.613
8000,0.618780487804878
8200,0.623452380952381
8400,0.6283720930232558
8600,0.6347727272727273
8800,0.6408888888888888
9000,0.6459782608695652
9200,0.6510638297872341
9400,0.655625
9600,0.6598979591836734
9800,0.664
10000,0.19
10200,0.2
10400,0.20666666666666667
10600,0.215
10800,0.242
11000,0.2725
11200,0.2957142857142857
11400,0.315
11600,0.33055555555555555
11800,0.3515
12000,0.365
12200,0.38083333333333336
12400,0.3973076923076923
12600,0.41035714285714286
12800,0.421
13000,0.431875
13200,0.4420588235294118
13400,0.45416666666666666
13600,0.4636842105263158
13800,0.47425
14000,0.4819047619047619
14200,0.4875
14400,0.49434782608695654
14600,0.5014583333333333
14800,0.5082
15000,0.515
15200,0.5233333333333333
15400,0.5276785714285714
15600,0.5341379310344827
15800,0.539
16000,0.5433870967741935
16200,0.5484375
16400,0.5516666666666666
16600,0.5583823529411764
16800,0.5625714285714286
17000,0.5681944444444444
17200,0.5709459459459459
17400,0.5739473684210527
17600,0.5782051282051283
17800,0.581625
18000,0.583780487804878
18200,0.5869047619047619
18400,0.59
18600,0.5926136363636364
18800,0.5952222222222222
19000,0.5978260869565217
19200,0.6008510638297873
19400,0.604375
19600,0.6074489795918367
19800,0.6096
20000,0.12
20200,0.14
20400,0.14
20600,0.14875
20800,0.158
21000,0.17833333333333334
21200,0.19428571428571428
21400,0.20375
21600,0.21611111111111111
21800,0.2345
22000,0.2409090909090909
22200,0.25333333333333335
22400,0.2642307692307692
22600,0.2717857142857143
22800,0.282
23000,0.2925
23200,0.3035294117647059
23400,0.30694444444444446
23600,0.3121052631578947
23800,0.31925
24000,0.325
24200,0.3336363636363636
24400,0.3408695652173913
24600,0.34770833333333334
24800,0.3522
25000,0.35365384615384615
25200,0.35555555555555557
25400,0.36160714285714285
25600,0.3656896551724138
25800,0.37033333333333335
26000,0.37451612903225806
26200,0.37953125
26400,0.38242424242424244
26600,0.38573529411764707
26800,0.38957142857142857
27000,0.39166666666666666
27200,0.39554054054054055
27400,0.39881578947368423
27600,0.40089743589743587
27800,0.403125
28000,0.4069512195121951
28200,0.41023809523809524
28400,0.4137209302325581
28600,0.4168181818181818
28800,0.42077777777777775
29000,0.42369565217391303
29200,0.4258510638297872
29400,0.4278125
29600,0.42918367346938774
29800,0.4317
