Episode,AvgReward
0,113.94
200,128.215
400,133.53
600,119.785
800,139.03
1000,129.99
1200,132.035
1400,155.0
1600,153.335
1800,173.355
2000,157.45
2200,149.185
2400,161.995
2600,173.09
2800,170.66
3000,181.265
3200,150.065
3400,144.99
3600,168.89
3800,161.245
4000,174.985
4200,170.34
4400,158.94
4600,158.87
4800,175.93
5000,179.645
5200,169.21
5400,166.415
5600,169.265
5800,168.61
6000,169.895
6200,187.015
6400,172.685
6600,169.9
6800,173.745
7000,190.03
7200,181.555
7400,184.5
7600,194.29
7800,190.39
8000,169.565
8200,171.235
8400,164.7
8600,178.8
8800,183.735
9000,192.71
9200,176.81
9400,188.3
9600,196.67
9800,183.86
10000,90.425
10200,88.015
10400,98.22
10600,106.885
10800,95.455
11000,102.305
11200,101.705
11400,104.79
11600,110.805
11800,120.04
12000,115.405
12200,112.205
12400,104.185
12600,114.415
12800,121.585
13000,112.52
13200,116.595
13400,120.0
13600,126.795
13800,117.16
14000,113.67
14200,121.76
14400,124.205
14600,129.645
14800,129.74
15000,126.915
15200,130.61
15400,120.07
15600,118.41
15800,128.045
16000,121.15
16200,123.42
16400,127.225
16600,127.21
16800,131.1
17000,119.055
17200,119.905
17400,133.35
17600,132.765
17800,132.46
18000,129.445
18200,122.195
18400,145.58
18600,135.945
18800,135.645
19000,128.705
19200,131.76
19400,146.465
19600,133.31
19800,130.37
20000,64.2
20200,68.485
20400,71.295
20600,71.705
20800,73.08
21000,77.765
21200,71.74
21400,73.235
21600,74.615
21800,75.025
22000,78.615
22200,78.05
22400,81.66
22600,86.085
22800,86.115
23000,82.82
23200,83.355
23400,91.1
23600,87.425
23800,79.655
24000,90.47
24200,84.365
24400,98.475
24600,91.895
24800,95.32
25000,102.45
25200,91.555
25400,90.48
25600,94.31
25800,92.865
26000,94.765
26200,95.115
26400,103.2
26600,100.205
26800,92.635
27000,93.325
27200,96.345
27400,99.22
27600,93.51
27800,98.055
28000,96.35
28200,95.48
28400,101.87
28600,95.93
28800,103.805
29000,97.195
29200,94.63
29400,101.235
29600,99.33
29800,99.21
