Step,Action,Reward,RevealedBoard
1,"(0, 2)",87,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 3)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, False], [False, False, False, False, False, False], [False, False, False, True, False, False]]"
3,"(5, 4)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, False], [False, False, False, False, False, False], [False, False, False, True, True, False]]"
4,"(5, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, False], [False, False, False, False, False, False], [False, False, True, True, True, False]]"
5,"(5, 1)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, False], [False, False, False, False, False, False], [False, True, True, True, True, False]]"
6,"(4, 3)",-10,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, False], [False, False, False, True, False, False], [False, True, True, True, True, False]]"

Board
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
1,1,2,1,2,-1
1,-1,2,-1,2,1
1,1,2,1,1,0
