Episode,AvgReward
0,117.275
200,120.895
400,129.805
600,151.75
800,119.845
1000,138.345
1200,164.465
1400,148.68
1600,149.245
1800,146.39
2000,177.64
2200,153.01
2400,164.625
2600,159.625
2800,151.87
3000,167.1
3200,171.115
3400,155.295
3600,164.1
3800,148.045
4000,172.21
4200,173.34
4400,148.655
4600,163.07
4800,170.345
5000,174.89
5200,153.935
5400,187.99
5600,163.65
5800,168.735
6000,173.055
6200,181.13
6400,171.8
6600,194.52
6800,175.015
7000,178.235
7200,168.33
7400,183.325
7600,171.18
7800,192.195
8000,175.525
8200,187.175
8400,182.55
8600,190.015
8800,172.76
9000,184.195
9200,202.44
9400,186.95
9600,167.61
9800,184.71
10000,99.19
10200,98.895
10400,102.795
10600,90.195
10800,92.645
11000,101.475
11200,111.26
11400,112.715
11600,108.625
11800,100.265
12000,104.105
12200,101.28
12400,116.335
12600,109.295
12800,117.825
13000,118.05
13200,117.72
13400,111.865
13600,111.945
13800,120.245
14000,113.175
14200,124.305
14400,122.445
14600,113.61
14800,116.26
15000,130.345
15200,135.32
15400,121.56
15600,121.93
15800,117.735
16000,124.92
16200,121.935
16400,125.91
16600,127.085
16800,128.105
17000,122.225
17200,129.675
17400,127.04
17600,134.335
17800,127.325
18000,135.04
18200,128.03
18400,130.405
18600,131.04
18800,129.65
19000,129.545
19200,136.05
19400,136.205
19600,128.165
19800,136.67
20000,66.595
20200,70.005
20400,80.65
20600,73.39
20800,71.005
21000,77.675
21200,74.16
21400,75.845
21600,81.795
21800,71.685
22000,77.49
22200,79.515
22400,78.06
22600,75.5
22800,81.825
23000,84.065
23200,82.43
23400,86.2
23600,91.54
23800,87.465
24000,84.345
24200,93.51
24400,95.275
24600,88.315
24800,88.555
25000,88.415
25200,93.345
25400,94.5
25600,84.215
25800,91.665
26000,96.16
26200,91.745
26400,97.195
26600,97.035
26800,93.505
27000,92.955
27200,91.3
27400,103.75
27600,93.835
27800,88.575
28000,98.005
28200,95.12
28400,97.53
28600,97.355
28800,97.275
29000,98.755
29200,102.315
29400,102.67
29600,93.455
29800,97.33
