Step,Action,Reward,RevealedBoard
1,"(2, 4)",17,"[[False, False, False, False, False, False], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 2)",68,"[[True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, False, False], [True, True, True, True, False, False]]"
3,"(5, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, False, False], [True, True, True, True, False, True]]"
4,"(4, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True]]"
5,"(5, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, False, True], [True, True, True, True, True, True]]"
6,"(4, 4)",-10,"[[True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
0,0,0,1,-1,1
0,0,0,1,1,1
0,1,1,1,0,0
0,1,-1,2,1,1
0,1,1,2,-1,1
0,0,0,1,1,1
