Episode,AvgReward
0,110.705
200,125.045
400,145.23
600,135.85
800,161.755
1000,146.29
1200,157.48
1400,137.115
1600,125.405
1800,158.455
2000,153.465
2200,154.71
2400,159.1
2600,148.26
2800,164.17
3000,171.98
3200,178.885
3400,165.01
3600,160.895
3800,164.575
4000,178.885
4200,176.14
4400,161.76
4600,172.22
4800,162.435
5000,180.675
5200,167.105
5400,175.82
5600,166.47
5800,164.995
6000,166.945
6200,172.97
6400,160.225
6600,147.475
6800,170.765
7000,182.245
7200,174.45
7400,155.885
7600,175.46
7800,195.89
8000,170.45
8200,178.195
8400,173.995
8600,172.715
8800,174.845
9000,178.325
9200,176.285
9400,201.55
9600,179.835
9800,189.225
10000,103.76
10200,101.095
10400,89.925
10600,98.84
10800,97.65
11000,89.835
11200,93.48
11400,107.0
11600,106.14
11800,103.87
12000,107.95
12200,116.92
12400,111.715
12600,110.365
12800,109.69
13000,117.38
13200,116.815
13400,126.965
13600,115.695
13800,113.735
14000,116.37
14200,113.95
14400,118.36
14600,115.69
14800,118.505
15000,122.19
15200,114.87
15400,118.145
15600,126.07
15800,125.725
16000,124.935
16200,123.125
16400,130.26
16600,135.5
16800,117.735
17000,135.02
17200,136.31
17400,132.515
17600,130.85
17800,136.99
18000,129.23
18200,126.635
18400,126.955
18600,130.615
18800,141.815
19000,125.6
19200,123.47
19400,129.3
19600,135.76
19800,126.765
20000,65.57
20200,67.725
20400,68.405
20600,79.68
20800,72.665
21000,71.81
21200,74.365
21400,79.79
21600,79.815
21800,81.28
22000,75.54
22200,76.315
22400,77.9
22600,80.525
22800,82.175
23000,80.015
23200,80.525
23400,81.22
23600,89.065
23800,86.24
24000,90.0
24200,87.225
24400,94.02
24600,86.915
24800,88.025
25000,90.225
25200,95.545
25400,93.74
25600,92.14
25800,90.35
26000,86.335
26200,87.88
26400,91.11
26600,90.665
26800,95.62
27000,94.26
27200,94.345
27400,95.02
27600,93.62
27800,93.76
28000,99.21
28200,91.205
28400,94.34
28600,95.105
28800,98.305
29000,96.61
29200,104.915
29400,101.155
29600,100.135
29800,102.38
