Step,Action,Reward,RevealedBoard
1,"(2, 4)",59,"[[False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, False, True, True, True]]"
2,"(5, 1)",1,"[[False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, True, False, True, True, True]]"
3,"(2, 0)",1,"[[False, False, False, False, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, True, False, True, True, True]]"
4,"(4, 1)",1,"[[False, False, False, False, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, True, False, True, True, True]]"
5,"(0, 0)",1,"[[True, False, False, False, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, True, False, True, True, True]]"
6,"(3, 0)",1,"[[True, False, False, False, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, False, True, True, True]]"
7,"(4, 0)",11,"[[True, False, False, False, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True]]"
8,"(0, 3)",1,"[[True, False, False, True, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True]]"
9,"(5, 2)",-10,"[[True, False, False, True, False, False], [False, False, True, True, True, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
2,-1,1,1,-1,1
-1,3,2,1,1,1
2,-1,1,0,0,0
1,1,1,0,0,0
0,1,1,1,0,0
0,1,-1,1,0,0
