Step,Action,Reward,RevealedBoard
1,"(1, 4)",86,"[[False, False, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False]]"
2,"(5, 5)",1,"[[False, False, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, True]]"
3,"(0, 1)",1,"[[False, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, True]]"
4,"(5, 3)",1,"[[False, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, True]]"
5,"(0, 0)",1,"[[True, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, True]]"
6,"(5, 1)",-10,"[[True, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, True, False, True, False, True]]"

Board
2,2,1,0,0,0
-1,-1,1,0,0,0
2,2,1,0,0,0
0,0,0,0,0,0
2,2,1,1,1,1
-1,-1,1,1,-1,1
