Episode,WinRate
0,0.145
200,0.135
400,0.16333333333333333
600,0.185
800,0.202
1000,0.22666666666666666
1200,0.2507142857142857
1400,0.266875
1600,0.2911111111111111
1800,0.312
2000,0.32954545454545453
2200,0.34541666666666665
2400,0.36038461538461536
2600,0.3775
2800,0.38966666666666666
3000,0.4053125
3200,0.4194117647058824
3400,0.4297222222222222
3600,0.44473684210526315
3800,0.4595
4000,0.4726190476190476
4200,0.485
4400,0.4976086956521739
4600,0.5095833333333334
4800,0.5212
5000,0.5328846153846154
5200,0.545
5400,0.5539285714285714
5600,0.5629310344827586
5800,0.5718333333333333
6000,0.5774193548387097
6200,0.58578125
6400,0.5919696969696969
6600,0.5985294117647059
6800,0.6071428571428571
7000,0.6134722222222222
7200,0.6204054054054055
7400,0.6267105263157895
7600,0.6326923076923077
7800,0.637375
8000,0.6429268292682927
8200,0.6483333333333333
8400,0.6526744186046511
8600,0.6577272727272727
8800,0.662
9000,0.6666304347826087
9200,0.6703191489361702
9400,0.6748958333333334
9600,0.679795918367347
9800,0.6839
10000,0.155
10200,0.1925
10400,0.2
10600,0.22
10800,0.223
11000,0.23083333333333333
11200,0.23642857142857143
11400,0.25
11600,0.2633333333333333
11800,0.273
12000,0.2831818181818182
12200,0.2925
12400,0.3019230769230769
12600,0.31035714285714283
12800,0.322
13000,0.3303125
13200,0.3388235294117647
13400,0.3461111111111111
13600,0.3568421052631579
13800,0.36475
14000,0.3688095238095238
14200,0.3743181818181818
14400,0.3823913043478261
14600,0.38708333333333333
14800,0.395
15000,0.40115384615384614
15200,0.40814814814814815
15400,0.41410714285714284
15600,0.42051724137931035
15800,0.429
16000,0.43483870967741933
16200,0.4415625
16400,0.44575757575757574
16600,0.45235294117647057
16800,0.4572857142857143
17000,0.46125
17200,0.4658108108108108
17400,0.4714473684210526
17600,0.4756410256410256
17800,0.4805
18000,0.48597560975609755
18200,0.49023809523809525
18400,0.49593023255813956
18600,0.5
18800,0.5036666666666667
19000,0.5080434782608696
19200,0.5126595744680851
19400,0.5155208333333333
19600,0.5193877551020408
19800,0.5211
20000,0.085
20200,0.075
20400,0.08333333333333333
20600,0.09
20800,0.106
21000,0.115
21200,0.11714285714285715
21400,0.124375
21600,0.13277777777777777
21800,0.1465
22000,0.15136363636363637
22200,0.15958333333333333
22400,0.16230769230769232
22600,0.16785714285714284
22800,0.17366666666666666
23000,0.1803125
23200,0.18352941176470589
23400,0.19166666666666668
23600,0.195
23800,0.20425
24000,0.20952380952380953
24200,0.21204545454545454
24400,0.2165217391304348
24600,0.22125
24800,0.2262
25000,0.2275
25200,0.2312962962962963
25400,0.23589285714285715
25600,0.23982758620689656
25800,0.2435
26000,0.24629032258064515
26200,0.24984375
26400,0.25333333333333335
26600,0.2566176470588235
26800,0.26057142857142856
27000,0.26458333333333334
27200,0.2685135135135135
27400,0.2727631578947368
27600,0.2774358974358974
27800,0.2805
28000,0.2841463414634146
28200,0.2861904761904762
28400,0.288953488372093
28600,0.29159090909090907
28800,0.29388888888888887
29000,0.29782608695652174
29200,0.2988297872340426
29400,0.3019791666666667
29600,0.3039795918367347
29800,0.3054

StageSwitchIndexes
50,100,150
