Step,Action,Reward,RevealedBoard
1,"(0, 3)",20,"[[False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 5)",14,"[[False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, False, False, False, False], [False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, False, True, True]]"
3,"(3, 0)",36,"[[False, False, True, True, True, True], [False, False, True, True, True, True], [True, True, True, False, False, False], [True, True, True, False, True, True], [True, True, True, False, True, True], [True, True, True, False, True, True]]"
4,"(0, 0)",1,"[[True, False, True, True, True, True], [False, False, True, True, True, True], [True, True, True, False, False, False], [True, True, True, False, True, True], [True, True, True, False, True, True], [True, True, True, False, True, True]]"
5,"(0, 1)",1,"[[True, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, False, False, False], [True, True, True, False, True, True], [True, True, True, False, True, True], [True, True, True, False, True, True]]"
6,"(1, 1)",-10,"[[True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, True, False, False, False], [True, True, True, False, True, True], [True, True, True, False, True, True], [True, True, True, False, True, True]]"

Board
1,1,1,0,0,0
1,-1,1,1,1,1
1,1,1,1,-1,1
0,0,1,2,2,1
0,0,1,-1,1,0
0,0,1,1,1,0
