Step,Action,Reward,RevealedBoard
1,"(1, 0)",52,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 0)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [True, False, False, False, False, False]]"
3,"(1, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [True, False, False, False, False, False]]"
4,"(4, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, True, False], [True, False, False, False, False, False]]"
5,"(3, 4)",24,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, True, True], [True, False, False, False, True, True]]"
6,"(4, 1)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, True, False, True, True, True], [True, False, False, False, True, True]]"
7,"(5, 1)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, True, False, True, True, True], [True, True, False, False, True, True]]"
8,"(4, 2)",-10,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True], [True, True, False, False, True, True]]"

Board
0,0,0,2,-1,2
0,0,0,2,-1,2
0,0,0,1,1,1
1,2,1,1,0,0
-1,2,-1,2,1,0
1,2,2,-1,1,0
