Step,Action,Reward,RevealedBoard
1,"(2, 5)",64,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
2,"(3, 0)",9,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True]]"
3,"(0, 0)",1,"[[True, False, False, False, True, True], [False, False, False, False, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True]]"
4,"(0, 2)",1,"[[True, False, True, False, True, True], [False, False, False, False, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True]]"
5,"(1, 2)",1,"[[True, False, True, False, True, True], [False, False, True, False, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, True], [False, True, True, True, True, True]]"
6,"(5, 0)",-10,"[[True, False, True, False, True, True], [False, False, True, False, True, True], [True, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
1,1,2,1,1,0
1,-1,3,-1,1,0
1,3,-1,3,1,0
0,2,-1,2,0,0
1,2,1,1,0,0
-1,1,0,0,0,0
