Episode,WinRate
0,0.12
200,0.125
400,0.14333333333333334
600,0.18
800,0.204
1000,0.2225
1200,0.24214285714285713
1400,0.258125
1600,0.2683333333333333
1800,0.289
2000,0.30454545454545456
2200,0.3225
2400,0.34
2600,0.35964285714285715
2800,0.37533333333333335
3000,0.39125
3200,0.40176470588235297
3400,0.4136111111111111
3600,0.4271052631578947
3800,0.439
4000,0.45285714285714285
4200,0.465
4400,0.4758695652173913
4600,0.48583333333333334
4800,0.4962
5000,0.5067307692307692
5200,0.5177777777777778
5400,0.5269642857142857
5600,0.5360344827586206
5800,0.5431666666666667
6000,0.5498387096774193
6200,0.55703125
6400,0.5657575757575758
6600,0.5722058823529412
6800,0.5797142857142857
7000,0.5855555555555556
7200,0.5921621621621621
7400,0.5980263157894737
7600,0.6037179487179487
7800,0.60925
8000,0.6136585365853658
8200,0.6178571428571429
8400,0.6232558139534884
8600,0.6277272727272727
8800,0.6318888888888889
9000,0.6360869565217391
9200,0.6398936170212766
9400,0.6440625
9600,0.6476530612244898
9800,0.6524
10000,0.18
10200,0.1775
10400,0.21833333333333332
10600,0.21625
10800,0.22
11000,0.23333333333333334
11200,0.2392857142857143
11400,0.25
11600,0.2677777777777778
11800,0.278
12000,0.2868181818181818
12200,0.2970833333333333
12400,0.305
12600,0.31107142857142855
12800,0.32266666666666666
13000,0.3271875
13200,0.33647058823529413
13400,0.3441666666666667
13600,0.35605263157894734
13800,0.367
14000,0.37357142857142855
14200,0.38045454545454543
14400,0.38804347826086955
14600,0.393125
14800,0.401
15000,0.40634615384615386
15200,0.4109259259259259
15400,0.41660714285714284
15600,0.4218965517241379
15800,0.42866666666666664
16000,0.4343548387096774
16200,0.44078125
16400,0.44727272727272727
16600,0.45323529411764707
16800,0.459
17000,0.4652777777777778
17200,0.46959459459459457
17400,0.4738157894736842
17600,0.4782051282051282
17800,0.484
18000,0.48878048780487804
18200,0.49297619047619046
18400,0.4972093023255814
18600,0.5018181818181818
18800,0.5043333333333333
19000,0.5089130434782608
19200,0.5131914893617021
19400,0.5154166666666666
19600,0.5187755102040816
19800,0.5213
20000,0.115
20200,0.125
20400,0.12666666666666668
20600,0.1275
20800,0.131
21000,0.12833333333333333
21200,0.13428571428571429
21400,0.136875
21600,0.1438888888888889
21800,0.154
22000,0.165
22200,0.16875
22400,0.17653846153846153
22600,0.185
22800,0.19433333333333333
23000,0.1978125
23200,0.20294117647058824
23400,0.20444444444444446
23600,0.21210526315789474
23800,0.215
24000,0.22095238095238096
24200,0.22340909090909092
24400,0.22934782608695653
24600,0.23416666666666666
24800,0.2378
25000,0.2425
25200,0.25055555555555553
25400,0.2532142857142857
25600,0.2570689655172414
25800,0.2595
26000,0.2646774193548387
26200,0.26953125
26400,0.27454545454545454
26600,0.2797058823529412
26800,0.2857142857142857
27000,0.2898611111111111
27200,0.2951351351351351
27400,0.2988157894736842
27600,0.30230769230769233
27800,0.307125
28000,0.30865853658536585
28200,0.31226190476190474
28400,0.3155813953488372
28600,0.3180681818181818
28800,0.3214444444444444
29000,0.3248913043478261
29200,0.3276595744680851
29400,0.32989583333333333
29600,0.33387755102040817
29800,0.3376

StageSwitchIndexes
50,100,150
