Step,Action,Reward,RevealedBoard
1,"(1, 4)",66,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(4, 3)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [False, False, False, True, False, False], [False, False, False, False, False, False]]"
3,"(3, 3)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, False], [False, False, False, True, False, False], [False, False, False, False, False, False]]"
4,"(4, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, False], [True, False, False, True, False, False], [False, False, False, False, False, False]]"
5,"(5, 5)",19,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, False], [True, False, True, True, True, True], [False, False, True, True, True, True]]"
6,"(4, 1)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, False, False], [True, True, True, True, True, True], [False, False, True, True, True, True]]"
7,"(3, 4)",-10,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, True, True, False], [True, True, True, True, True, True], [False, False, True, True, True, True]]"

Board
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,-1,1,1,-1,1
2,2,2,1,1,1
1,-1,1,0,0,0
