Episode,AvgReward
0,147.745
200,147.36
400,136.7
600,140.575
800,133.67
1000,133.59
1200,164.58
1400,148.42
1600,153.68
1800,152.575
2000,143.3
2200,151.705
2400,169.615
2600,159.48
2800,147.925
3000,172.56
3200,164.295
3400,163.865
3600,160.635
3800,165.99
4000,181.69
4200,167.405
4400,181.53
4600,187.24
4800,174.245
5000,178.875
5200,171.365
5400,175.46
5600,181.73
5800,170.54
6000,172.86
6200,207.91
6400,177.61
6600,193.76
6800,186.365
7000,176.845
7200,167.735
7400,188.6
7600,171.075
7800,175.395
8000,181.075
8200,172.625
8400,186.11
8600,199.365
8800,175.52
9000,183.37
9200,175.005
9400,174.01
9600,180.155
9800,158.26
10000,86.68
10200,85.67
10400,98.125
10600,94.485
10800,115.43
11000,98.005
11200,97.225
11400,95.86
11600,105.195
11800,108.615
12000,114.735
12200,109.73
12400,117.135
12600,120.92
12800,105.105
13000,115.035
13200,122.4
13400,115.18
13600,120.63
13800,116.285
14000,120.73
14200,113.14
14400,114.08
14600,115.235
14800,121.54
15000,124.7
15200,119.34
15400,118.86
15600,133.95
15800,134.49
16000,124.855
16200,124.8
16400,120.205
16600,123.045
16800,123.375
17000,123.765
17200,131.99
17400,134.48
17600,126.245
17800,128.48
18000,133.38
18200,133.795
18400,140.695
18600,131.015
18800,129.005
19000,133.115
19200,132.62
19400,132.475
19600,125.605
19800,133.5
20000,68.425
20200,68.565
20400,66.445
20600,72.785
20800,71.12
21000,87.465
21200,72.175
21400,76.875
21600,76.01
21800,78.535
22000,75.36
22200,76.92
22400,75.7
22600,84.665
22800,82.25
23000,79.12
23200,85.455
23400,84.8
23600,87.46
23800,85.43
24000,95.58
24200,89.37
24400,86.73
24600,83.42
24800,87.625
25000,89.835
25200,94.455
25400,95.485
25600,96.36
25800,89.42
26000,86.465
26200,93.91
26400,90.595
26600,94.54
26800,96.54
27000,97.72
27200,103.745
27400,96.575
27600,97.96
27800,94.19
28000,95.125
28200,94.775
28400,97.55
28600,98.065
28800,91.17
29000,93.66
29200,92.0
29400,99.4
29600,96.305
29800,95.435
