Episode,AvgReward
0,125.815
200,108.555
400,147.575
600,157.785
800,140.18
1000,131.34
1200,146.53
1400,184.5
1600,145.875
1800,192.22
2000,174.86
2200,164.805
2400,171.92
2600,166.23
2800,156.475
3000,159.755
3200,168.465
3400,183.785
3600,166.325
3800,162.23
4000,162.335
4200,192.535
4400,171.46
4600,148.92
4800,179.64
5000,166.555
5200,168.0
5400,198.16
5600,171.565
5800,173.935
6000,162.34
6200,167.175
6400,179.095
6600,176.655
6800,183.39
7000,163.815
7200,176.96
7400,175.495
7600,169.75
7800,185.965
8000,186.42
8200,166.035
8400,170.035
8600,181.525
8800,200.325
9000,187.425
9200,196.325
9400,168.745
9600,170.375
9800,187.52
10000,94.77
10200,97.735
10400,94.85
10600,109.78
10800,92.715
11000,98.025
11200,108.26
11400,121.365
11600,105.265
11800,105.58
12000,115.58
12200,109.38
12400,126.37
12600,119.99
12800,109.41
13000,114.4
13200,111.755
13400,116.05
13600,114.3
13800,110.835
14000,117.015
14200,119.16
14400,122.635
14600,117.485
14800,121.925
15000,121.715
15200,123.74
15400,118.6
15600,132.82
15800,125.275
16000,124.755
16200,133.12
16400,133.665
16600,121.525
16800,122.215
17000,140.975
17200,131.54
17400,125.615
17600,132.745
17800,123.45
18000,127.99
18200,140.08
18400,132.22
18600,130.91
18800,140.97
19000,122.24
19200,128.385
19400,131.76
19600,137.785
19800,141.545
20000,61.825
20200,68.355
20400,71.365
20600,66.965
20800,72.37
21000,72.3
21200,74.835
21400,71.54
21600,74.065
21800,85.64
22000,79.29
22200,77.115
22400,81.145
22600,83.58
22800,82.175
23000,88.785
23200,82.9
23400,83.475
23600,81.44
23800,102.695
24000,85.435
24200,84.08
24400,86.26
24600,84.76
24800,79.68
25000,89.01
25200,95.995
25400,90.55
25600,90.37
25800,90.53
26000,91.425
26200,98.26
26400,94.31
26600,92.245
26800,89.29
27000,100.68
27200,93.405
27400,96.22
27600,93.7
27800,96.23
28000,93.95
28200,113.32
28400,92.81
28600,98.06
28800,91.15
29000,95.355
29200,99.925
29400,95.375
29600,100.215
29800,98.03
