Step,Action,Reward,RevealedBoard
1,"(2, 1)",82,"[[False, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, False, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
2,"(3, 5)",1,"[[False, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, False, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
3,"(2, 4)",1,"[[False, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, False, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
4,"(2, 5)",1,"[[False, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
5,"(1, 4)",1,"[[False, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
6,"(1, 5)",51,"[[False, True, True, True, False, False], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
-1,1,0,1,-1,-1
1,1,0,1,2,2
0,0,1,2,2,1
0,0,1,-1,-1,1
0,0,1,2,2,1
0,0,0,0,0,0
