Step,Action,Reward,RevealedBoard
1,"(2, 1)",87,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, False, False, False]]"
2,"(4, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, False, False, False]]"
3,"(2, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, False, False, False]]"
4,"(5, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, False, True, False]]"
5,"(5, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, False, True, True]]"
6,"(1, 4)",1,"[[True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, False, True, True]]"
7,"(3, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, True, True]]"
8,"(0, 5)",1,"[[True, True, True, True, False, True], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, True, True]]"
9,"(2, 5)",51,"[[True, True, True, True, False, True], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, False, True, True]]"

Board
0,0,0,1,-1,2
0,0,0,1,2,-1
0,0,0,1,2,2
0,0,0,2,-1,2
0,0,1,3,-1,2
0,0,1,-1,2,1
