Step,Action,Reward,RevealedBoard
1,"(0, 5)",52,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
2,"(3, 2)",1,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
3,"(3, 0)",1,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
4,"(0, 3)",1,"[[False, False, False, True, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
5,"(1, 1)",1,"[[False, False, False, True, True, True], [False, True, False, False, True, True], [False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
6,"(1, 2)",1,"[[False, False, False, True, True, True], [False, True, True, False, True, True], [False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
7,"(0, 1)",12,"[[True, True, True, True, True, True], [True, True, True, False, True, True], [False, False, False, True, True, True], [True, False, True, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True]]"
8,"(4, 0)",-10,"[[True, True, True, True, True, True], [True, True, True, False, True, True], [False, False, False, True, True, True], [True, False, True, True, True, True], [True, False, False, True, True, True], [False, False, False, True, True, True]]"

Board
0,0,1,1,1,0
1,1,2,-1,1,0
1,-1,2,1,1,0
2,3,2,1,0,0
-1,3,-1,1,0,0
-1,3,1,1,0,0
