Episode,WinRate
0,0.11
200,0.1175
400,0.13666666666666666
600,0.1575
800,0.175
1000,0.2
1200,0.22857142857142856
1400,0.25125
1600,0.2761111111111111
1800,0.293
2000,0.30772727272727274
2200,0.31958333333333333
2400,0.33192307692307693
2600,0.35035714285714287
2800,0.36633333333333334
3000,0.3821875
3200,0.3976470588235294
3400,0.41055555555555556
3600,0.4226315789473684
3800,0.435
4000,0.4488095238095238
4200,0.4611363636363636
4400,0.4717391304347826
4600,0.4825
4800,0.4918
5000,0.5
5200,0.5096296296296297
5400,0.5166071428571428
5600,0.5224137931034483
5800,0.5298333333333334
6000,0.537258064516129
6200,0.54375
6400,0.5503030303030303
6600,0.5569117647058823
6800,0.5632857142857143
7000,0.5672222222222222
7200,0.5727027027027027
7400,0.5771052631578948
7600,0.5812820512820512
7800,0.586375
8000,0.5909756097560975
8200,0.5951190476190477
8400,0.5998837209302326
8600,0.6031818181818182
8800,0.608
9000,0.6115217391304347
9200,0.6142553191489362
9400,0.6184375
9600,0.6215306122448979
9800,0.6234
10000,0.105
10200,0.115
10400,0.135
10600,0.14375
10800,0.157
11000,0.17
11200,0.18071428571428572
11400,0.189375
11600,0.20333333333333334
11800,0.204
12000,0.21545454545454545
12200,0.21791666666666668
12400,0.22115384615384615
12600,0.22607142857142856
12800,0.23366666666666666
13000,0.239375
13200,0.24705882352941178
13400,0.2525
13600,0.2542105263157895
13800,0.25925
14000,0.26452380952380955
14200,0.27
14400,0.27456521739130435
14600,0.28
14800,0.2846
15000,0.2896153846153846
15200,0.29185185185185186
15400,0.29446428571428573
15600,0.2986206896551724
15800,0.30183333333333334
16000,0.30370967741935484
16200,0.30796875
16400,0.3134848484848485
16600,0.31720588235294117
16800,0.3202857142857143
17000,0.32208333333333333
17200,0.3233783783783784
17400,0.3257894736842105
17600,0.3280769230769231
17800,0.32975
18000,0.3325609756097561
18200,0.3330952380952381
18400,0.3344186046511628
18600,0.3365909090909091
18800,0.3378888888888889
19000,0.33967391304347827
19200,0.34106382978723404
19400,0.3434375
19600,0.34469387755102043
19800,0.3466
20000,0.045
20200,0.05
20400,0.056666666666666664
20600,0.06375
20800,0.07
21000,0.07583333333333334
21200,0.07785714285714286
21400,0.08
21600,0.085
21800,0.0855
22000,0.0890909090909091
22200,0.09166666666666666
22400,0.09384615384615384
22600,0.09321428571428571
22800,0.098
23000,0.099375
23200,0.10176470588235294
23400,0.10388888888888889
23600,0.10631578947368421
23800,0.107
24000,0.11047619047619048
24200,0.10909090909090909
24400,0.11021739130434782
24600,0.11166666666666666
24800,0.1132
25000,0.11403846153846153
25200,0.11351851851851852
25400,0.11464285714285714
25600,0.11620689655172414
25800,0.118
26000,0.11887096774193548
26200,0.1203125
26400,0.12136363636363637
26600,0.12294117647058823
26800,0.12485714285714286
27000,0.12569444444444444
27200,0.1264864864864865
27400,0.12802631578947368
27600,0.12923076923076923
27800,0.13075
28000,0.1328048780487805
28200,0.13404761904761905
28400,0.13511627906976745
28600,0.13625
28800,0.13722222222222222
29000,0.1373913043478261
29200,0.13808510638297872
29400,0.13958333333333334
29600,0.14020408163265305
29800,0.1425

StageSwitchIndexes
50,100,150
