Episode,WinRate
0,0.125
200,0.1425
400,0.16333333333333333
600,0.17375
800,0.202
1000,0.23
1200,0.24428571428571427
1400,0.259375
1600,0.2833333333333333
1800,0.3035
2000,0.3195454545454545
2200,0.33625
2400,0.3557692307692308
2600,0.36857142857142855
2800,0.383
3000,0.3975
3200,0.4102941176470588
3400,0.4241666666666667
3600,0.43526315789473685
3800,0.4465
4000,0.45904761904761904
4200,0.4690909090909091
4400,0.48195652173913045
4600,0.4925
4800,0.5
5000,0.5086538461538461
5200,0.5187037037037037
5400,0.5260714285714285
5600,0.5363793103448276
5800,0.5445
6000,0.5546774193548387
6200,0.56171875
6400,0.5686363636363636
6600,0.5755882352941176
6800,0.5835714285714285
7000,0.5909722222222222
7200,0.5975675675675676
7400,0.6036842105263158
7600,0.6105128205128205
7800,0.617
8000,0.6232926829268293
8200,0.6286904761904762
8400,0.6344186046511628
8600,0.6395454545454545
8800,0.6444444444444445
9000,0.648695652173913
9200,0.6531914893617021
9400,0.6573958333333333
9600,0.6622448979591836
9800,0.6654
10000,0.15
10200,0.1825
10400,0.17666666666666667
10600,0.1725
10800,0.188
11000,0.18916666666666668
11200,0.18642857142857142
11400,0.184375
11600,0.19
11800,0.19
12000,0.19
12200,0.19166666666666668
12400,0.1896153846153846
12600,0.19321428571428573
12800,0.195
13000,0.1946875
13200,0.19647058823529412
13400,0.1988888888888889
13600,0.19973684210526316
13800,0.2015
14000,0.20452380952380952
14200,0.20545454545454545
14400,0.20869565217391303
14600,0.2125
14800,0.2144
15000,0.21903846153846154
15200,0.22277777777777777
15400,0.22678571428571428
15600,0.23051724137931034
15800,0.23316666666666666
16000,0.2353225806451613
16200,0.239375
16400,0.2406060606060606
16600,0.24235294117647058
16800,0.24371428571428572
17000,0.24708333333333332
17200,0.24891891891891893
17400,0.2501315789473684
17600,0.2530769230769231
17800,0.255375
18000,0.25853658536585367
18200,0.26035714285714284
18400,0.26325581395348835
18600,0.26636363636363636
18800,0.26866666666666666
19000,0.2716304347826087
19200,0.27361702127659576
19400,0.27677083333333335
19600,0.278265306122449
19800,0.2819
20000,0.06
20200,0.0875
20400,0.09
20600,0.0825
20800,0.089
21000,0.08833333333333333
21200,0.08928571428571429
21400,0.0925
21600,0.09333333333333334
21800,0.0935
22000,0.09363636363636364
22200,0.095
22400,0.09538461538461539
22600,0.09678571428571428
22800,0.10066666666666667
23000,0.1034375
23200,0.10588235294117647
23400,0.1063888888888889
23600,0.10605263157894737
23800,0.10575
24000,0.10523809523809524
24200,0.10568181818181818
24400,0.10695652173913044
24600,0.10708333333333334
24800,0.1082
25000,0.10961538461538461
25200,0.11074074074074074
25400,0.11214285714285714
25600,0.1146551724137931
25800,0.11566666666666667
26000,0.11758064516129033
26200,0.1175
26400,0.12015151515151515
26600,0.12205882352941176
26800,0.12442857142857143
27000,0.12541666666666668
27200,0.12662162162162163
27400,0.12802631578947368
27600,0.1308974358974359
27800,0.13325
28000,0.13414634146341464
28200,0.1357142857142857
28400,0.13686046511627906
28600,0.1378409090909091
28800,0.1388888888888889
29000,0.14097826086956522
29200,0.1422340425531915
29400,0.1434375
29600,0.14418367346938776
29800,0.1469
