Episode,AvgReward
0,135.26
200,116.67
400,125.7
600,124.515
800,144.52
1000,127.12
1200,131.965
1400,163.41
1600,164.715
1800,172.23
2000,134.465
2200,166.52
2400,154.795
2600,162.14
2800,162.785
3000,177.825
3200,162.99
3400,169.73
3600,172.655
3800,174.99
4000,194.725
4200,166.44
4400,164.305
4600,178.0
4800,166.285
5000,166.63
5200,156.42
5400,184.785
5600,188.275
5800,164.565
6000,196.1
6200,184.315
6400,178.925
6600,181.28
6800,172.895
7000,173.76
7200,184.65
7400,170.08
7600,178.505
7800,207.57
8000,180.16
8200,188.82
8400,187.96
8600,203.615
8800,200.445
9000,174.06
9200,183.81
9400,174.44
9600,176.435
9800,174.14
10000,93.365
10200,99.205
10400,89.85
10600,90.275
10800,96.075
11000,96.495
11200,96.905
11400,93.145
11600,100.69
11800,97.615
12000,91.505
12200,89.25
12400,91.98
12600,97.355
12800,94.06
13000,92.355
13200,94.96
13400,95.985
13600,100.115
13800,88.985
14000,96.325
14200,99.385
14400,99.735
14600,105.49
14800,95.97
15000,102.235
15200,106.16
15400,104.74
15600,107.745
15800,95.49
16000,101.985
16200,110.245
16400,97.19
16600,109.025
16800,101.24
17000,100.41
17200,104.785
17400,100.205
17600,108.83
17800,111.625
18000,105.645
18200,99.505
18400,109.41
18600,109.315
18800,109.51
19000,114.15
19200,107.995
19400,105.11
19600,105.325
19800,111.78
20000,67.055
20200,78.375
20400,70.725
20600,65.505
20800,69.235
21000,65.89
21200,76.055
21400,67.365
21600,68.9
21800,67.055
22000,70.155
22200,69.345
22400,66.64
22600,69.065
22800,74.415
23000,70.31
23200,74.375
23400,69.355
23600,75.19
23800,75.375
24000,66.99
24200,70.435
24400,68.455
24600,71.805
24800,66.715
25000,73.755
25200,78.62
25400,71.7
25600,72.525
25800,70.525
26000,76.11
26200,72.255
26400,78.62
26600,81.765
26800,83.21
27000,72.775
27200,75.68
27400,85.875
27600,76.955
27800,80.655
28000,73.41
28200,77.14
28400,74.695
28600,75.28
28800,74.145
29000,82.4
29200,75.04
29400,77.825
29600,74.41
29800,85.855
