Step,Action,Reward,RevealedBoard
1,"(2, 0)",58,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False]]"
2,"(5, 5)",14,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, False, False, True, True], [True, True, False, False, True, True], [True, True, False, False, True, True]]"
3,"(5, 2)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, False, False, True, True], [True, True, False, False, True, True], [True, True, True, False, True, True]]"
4,"(1, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, False, False], [True, True, False, False, True, True], [True, True, False, False, True, True], [True, True, True, False, True, True]]"
5,"(2, 5)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, False, False, True, True], [True, True, False, False, True, True], [True, True, True, False, True, True]]"
6,"(0, 5)",1,"[[True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, False, False, True, True], [True, True, False, False, True, True], [True, True, True, False, True, True]]"
7,"(3, 3)",1,"[[True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [True, True, False, False, True, True], [True, True, True, False, True, True]]"
8,"(0, 4)",1,"[[True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [True, True, False, False, True, True], [True, True, True, False, True, True]]"
9,"(5, 3)",51,"[[True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [True, True, False, False, True, True], [True, True, True, True, True, True]]"

Board
0,0,0,1,1,1
0,0,0,2,-1,2
0,1,1,3,-1,2
0,2,-1,4,2,1
0,2,-1,-1,1,0
0,1,2,2,1,0
